,City Name,Latitude,Longitude,Maximum Temp,Humidity,Cloud Coverage,Wind Speed,Country,Date and Time
125,namatanai,-3.6667,152.4333,83.21,74,93,2.93,PG,1628740984
126,lerwick,60.1545,-1.1494,55.4,97,100,12.84,GB,1628740984
127,riyadh,24.6877,46.7219,87.85,11,0,2.3,SA,1628740765
128,mlimba,-8.8,35.8167,60.93,82,0,2.64,TZ,1628740985
129,calama,-22.4667,-68.9333,48.45,25,86,3.33,CL,1628740985
130,port hedland,-20.3167,118.5667,77.05,10,0,18.41,AU,1628740986
131,manzil salim,35.8567,8.4765,81.63,22,0,3.74,TN,1628740986
132,kathu,7.9178,98.3332,73.22,72,89,10.89,TH,1628740986
133,puerto del rosario,28.5004,-13.8627,71.35,83,57,13.8,ES,1628740987
134,kahului,20.8947,-156.47,79.97,84,50,9.91,US,1628740881
135,cap malheureux,-19.9842,57.6142,74.46,80,9,5.99,MU,1628740878
136,camacha,33.0833,-16.3333,70.56,73,40,4.61,PT,1628740989
137,caravelas,-17.7125,-39.2481,68.14,94,7,2.86,BR,1628740990
138,luderitz,-26.6481,15.1594,52.43,83,18,12.97,NA,1628740991
139,bara,10.3744,10.7288,71.26,97,100,7.11,NG,1628740992
140,turukhansk,65.8167,87.9833,54.5,58,77,15.3,RU,1628740992
141,avarua,-21.2078,-159.775,71.65,94,75,4.61,CK,1628740993
142,vila franca do campo,37.7167,-25.4333,72.01,89,14,6.87,PT,1628740994
143,naze,28.3667,129.4833,80.56,84,57,19.98,JP,1628740995
144,ancud,-41.8697,-73.8203,41.79,83,0,2.13,CL,1628740996
145,bousse,12.6606,-1.8922,71.56,90,63,9.53,BF,1628740997
146,cape town,-33.9258,18.4232,50.88,92,99,3.0,ZA,1628740896
147,dikson,73.5069,80.5464,42.66,88,18,9.93,RU,1628740999
148,forbes,-33.3833,148.0167,55.2,55,0,8.1,AU,1628740999
149,grindavik,63.8424,-22.4338,52.56,100,75,5.75,IS,1628741000
150,fortuna,40.5982,-124.1573,76.48,89,90,0.0,US,1628741000
151,niteroi,-22.8833,-43.1036,67.35,88,100,5.93,BR,1628741001
152,lorengau,-2.0226,147.2712,86.02,63,40,6.8,PG,1628741008
153,ordynskoye,54.3656,81.8994,60.24,98,98,4.99,RU,1628741009
154,san quintin,30.4833,-115.95,71.73,79,2,6.29,MX,1628741010
155,mayo,38.8876,-76.5119,77.16,94,1,1.01,US,1628741011
156,mityana,0.4175,32.0228,59.72,93,32,1.79,UG,1628741011
157,nanortalik,60.1432,-45.2371,44.33,86,69,10.63,GL,1628741012
158,coquimbo,-29.9533,-71.3436,52.2,88,48,1.03,CL,1628741012
159,carutapera,-1.195,-46.02,76.24,94,85,6.26,BR,1628741012
160,abomey,7.1829,1.9912,70.97,96,100,4.7,BJ,1628741013
161,marfino,55.7028,37.3822,66.15,100,75,4.47,RU,1628741014
162,minas,-34.3759,-55.2377,47.52,90,0,1.16,UY,1628741015
163,mount isa,-20.7333,139.5,85.77,16,0,12.66,AU,1628741015
164,epe,6.5841,3.9834,73.8,94,100,5.41,NG,1628741016
165,evensk,61.95,159.2333,54.41,83,100,6.44,RU,1628741016
166,oranjestad,12.524,-70.027,82.53,86,80,21.18,AW,1628741018
167,pringsewu,-5.3582,104.9744,89.19,46,52,5.64,ID,1628741019
168,kieta,-6.2167,155.6333,75.67,94,100,4.34,PG,1628741021
169,vila velha,-20.3297,-40.2925,68.05,89,26,11.65,BR,1628740860
170,zhigansk,66.7697,123.3711,69.62,40,74,7.7,RU,1628741022
171,douglas,41.3,-96.167,79.68,73,1,1.01,US,1628741023
172,dzilam gonzalez,21.2833,-88.9333,72.55,94,100,2.06,MX,1628741024
173,vaini,-21.2,-175.2,66.2,84,100,18.61,TO,1628741024
174,agaro,7.85,36.65,58.32,97,47,1.25,ET,1628741025
175,kutum,14.2,24.6667,71.64,74,99,3.2,SD,1628741025
176,pevek,69.7008,170.3133,40.89,69,82,3.27,RU,1628741025
177,sosnogorsk,63.6023,53.8817,60.89,64,100,8.46,RU,1628741026
178,tiksi,71.6872,128.8694,59.67,68,100,9.24,RU,1628741026
179,klaksvik,62.2266,-6.589,54.52,98,100,12.46,FO,1628741026
180,lagoa,39.05,-27.9833,72.12,82,41,12.8,PT,1628741027
181,awjilah,29.1081,21.2869,81.77,55,0,3.15,LY,1628741027
182,kimbe,-5.5502,150.1429,83.37,74,72,2.68,PG,1628741027
183,zhoucheng,35.9122,116.3117,80.82,80,100,1.48,CN,1628741028
184,talnakh,69.4865,88.3972,43.65,90,100,8.63,RU,1628741028
185,port blair,11.6667,92.75,84.24,89,75,13.8,IN,1628741030
